temperature,city,pression,date
282.17,paris,1005,2024-01-01 21:12
282.66,london,991,2024-01-01 21:12
275.11,washington,1026,2024-01-01 21:12
298.23,ouagadougou,1014,2024-01-01 21:12
301.59,accra,1013,2024-01-01 21:12
282.34,paris,1007,2024-01-01 20:19
282.37,london,993,2024-01-01 20:19
274.77,washington,1027,2024-01-01 20:19
298.22,ouagadougou,1014,2024-01-01 20:19
302.38,accra,1012,2024-01-01 20:19
282.32,paris,1007,2024-01-01 20:04
282.33,london,994,2024-01-01 20:04
274.97,washington,1027,2024-01-01 20:04
299.08,ouagadougou,1013,2024-01-01 20:04
301.73,accra,1012,2024-01-01 20:04
282.34,paris,1007,2024-01-01 19:48
282.28,london,994,2024-01-01 19:48
274.83,washington,1027,2024-01-01 19:48
300.22,ouagadougou,1013,2024-01-01 19:48
302.38,accra,1011,2024-01-01 19:48
282.66,paris,1008,2024-01-01 18:54
282.02,london,996,2024-01-01 18:54
274.55,washington,1028,2024-01-01 18:54
303.22,ouagadougou,1012,2024-01-01 18:54
302.38,accra,1010,2024-01-01 18:54
282.57,paris,1009,2024-01-01 18:42
281.88,london,997,2024-01-01 18:42
274.67,washington,1028,2024-01-01 18:42
303.22,ouagadougou,1012,2024-01-01 18:42
302.38,accra,1010,2024-01-01 18:42
282.57,paris,1009,2024-01-01 18:41
281.88,london,997,2024-01-01 18:41
274.67,washington,1028,2024-01-01 18:41
303.22,ouagadougou,1012,2024-01-01 18:41
302.38,accra,1010,2024-01-01 18:41
282.57,paris,1009,2024-01-01 18:40
281.88,london,997,2024-01-01 18:40
274.67,washington,1028,2024-01-01 18:40
303.22,ouagadougou,1012,2024-01-01 18:40
302.38,accra,1010,2024-01-01 18:40
282.57,paris,1009,2024-01-01 18:39
281.88,london,997,2024-01-01 18:39
274.67,washington,1028,2024-01-01 18:39
303.22,ouagadougou,1012,2024-01-01 18:39
302.38,accra,1010,2024-01-01 18:39
282.57,paris,1009,2024-01-01 18:38
281.88,london,997,2024-01-01 18:38
274.67,washington,1028,2024-01-01 18:38
303.22,ouagadougou,1012,2024-01-01 18:38
302.38,accra,1010,2024-01-01 18:38
282.57,paris,1009,2024-01-01 18:37
281.88,london,997,2024-01-01 18:37
274.67,washington,1028,2024-01-01 18:37
303.22,ouagadougou,1012,2024-01-01 18:37
302.38,accra,1010,2024-01-01 18:37
282.57,paris,1009,2024-01-01 18:36
281.88,london,997,2024-01-01 18:36
274.67,washington,1028,2024-01-01 18:36
303.22,ouagadougou,1012,2024-01-01 18:36
302.38,accra,1010,2024-01-01 18:36
282.54,paris,1009,2024-01-01 18:35
281.95,london,996,2024-01-01 18:35
274.21,washington,1028,2024-01-01 18:35
303.22,ouagadougou,1012,2024-01-01 18:35
302.38,accra,1010,2024-01-01 18:35
282.54,paris,1009,2024-01-01 18:34
281.83,london,997,2024-01-01 18:34
274.21,washington,1028,2024-01-01 18:34
303.22,ouagadougou,1012,2024-01-01 18:34
302.38,accra,1010,2024-01-01 18:34
282.54,paris,1009,2024-01-01 18:33
281.83,london,997,2024-01-01 18:33
274.21,washington,1028,2024-01-01 18:33
303.22,ouagadougou,1012,2024-01-01 18:33
302.38,accra,1010,2024-01-01 18:33
282.54,paris,1009,2024-01-01 18:32
281.83,london,997,2024-01-01 18:32
274.21,washington,1028,2024-01-01 18:32
303.22,ouagadougou,1012,2024-01-01 18:32
302.38,accra,1010,2024-01-01 18:32
282.54,paris,1009,2024-01-01 18:31
281.83,london,997,2024-01-01 18:31
274.21,washington,1028,2024-01-01 18:31
303.22,ouagadougou,1012,2024-01-01 18:31
302.38,accra,1010,2024-01-01 18:31
282.57,paris,1009,2024-01-01 18:30
281.83,london,997,2024-01-01 18:30
274.21,washington,1028,2024-01-01 18:30
303.22,ouagadougou,1012,2024-01-01 18:30
302.38,accra,1010,2024-01-01 18:30
282.57,paris,1009,2024-01-01 18:29
281.83,london,997,2024-01-01 18:29
274.21,washington,1028,2024-01-01 18:29
303.22,ouagadougou,1012,2024-01-01 18:29
302.38,accra,1010,2024-01-01 18:29
282.57,paris,1009,2024-01-01 18:28
281.83,london,997,2024-01-01 18:28
274.21,washington,1028,2024-01-01 18:28
303.22,ouagadougou,1012,2024-01-01 18:28
302.38,accra,1010,2024-01-01 18:28
